client_id,age,situation_familiale,profession,region,anciennete_mois,produit_principal,niveau_couverture,canal_souscription,prime_mensuelle_eur,nb_sinistres_12m,montant_sinistres_eur,nb_appels_support_12m,nb_avenants_contrat,retard_paiement_nb,score_satisfaction,resiliation_anterieure,date_souscription,date_derniere_interaction,churned
CLT00046,73,Célibataire,Salarié,Grand Est,36,Assurance Habitation,Premium,Téléphone,92.03,0,0.0,0.0,3,0,3.0,0,2022-03-19,2024-02-24,0
CLT00047,60,En couple,Retraité,Bretagne,156,Assurance Habitation,Premium,Agence,105.82,4,11954.43,0.0,2,0,5.0,0,2022-05-11,2022-06-22,1
CLT00048,31,En couple,Indépendant,Bretagne,120,Assurance Santé,Confort,Agence,179.15,0,0.0,0.0,0,0,3.0,1,2023-11-14,2023-12-10,1
CLT00049,50,En couple,Indépendant,Auvergne-Rhône-Alpes,60,Assurance Santé,Premium,Téléphone,223.59,1,2616.79,3.0,0,3,5.0,0,2022-07-01,2023-08-27,0
CLT00050,52,En couple,Fonctionnaire,Grand Est,36,Assurance Auto,Essentiel,Courtier,89.76,1,1387.82,3.0,2,0,4.0,0,2022-06-13,2024-05-31,0
CLT00051,41,En couple,Indépendant,Hauts-de-France,144,Assurance Auto,Confort,Agence,125.27,2,4567.59,1.0,3,0,5.0,0,2023-04-17,2023-10-13,0
CLT00052,59,En couple,Retraité,Île-de-France,60,Assurance Santé,Essentiel,Web,142.46,0,0.0,4.0,0,0,3.0,1,2022-12-03,2023-09-14,0
CLT00053,57,Marié(e),Salarié,Grand Est,36,Assurance Auto,Confort,Courtier,122.46,0,0.0,0.0,0,0,4.0,0,2022-04-29,2023-01-21,0
CLT00054,37,Célibataire,Sans emploi,Île-de-France,84,Assurance Habitation,Premium,Courtier,77.93,0,0.0,4.0,3,0,4.0,0,2023-03-21,2023-09-13,0
CLT00055,57,En couple,Fonctionnaire,Grand Est,120,Assurance Santé,Confort,Agence,165.63,0,0.0,0.0,0,3,5.0,0,2022-02-15,2024-02-10,0
CLT00056,54,Veuf/Veuve,Salarié,Bretagne,60,Assurance Vie,Essentiel,Web,68.09,1,655.33,3.0,0,0,5.0,0,2023-11-12,2024-02-04,0
CLT00057,31,Marié(e),Retraité,Nouvelle-Aquitaine,96,Multirisque Pro,Confort,Agence,323.91,1,661.54,1.0,1,3,5.0,0,2022-12-01,2024-01-17,0
CLT00058,46,Veuf/Veuve,Retraité,Occitanie,72,Assurance Santé,Premium,Web,273.65,1,377.83,0.0,2,0,3.0,1,2023-11-25,2024-06-03,0
CLT00059,52,Célibataire,Fonctionnaire,Grand Est,60,Assurance Habitation,Premium,Courtier,107.89,1,2353.16,4.0,1,0,4.0,0,2022-10-21,2023-05-24,0
CLT00060,66,Veuf/Veuve,Retraité,Hauts-de-France,156,Assurance Vie,Premium,Courtier,110.7,2,4639.2,0.0,2,0,2.0,0,2023-11-23,2024-01-16,0
CLT00061,71,Marié(e),Sans emploi,PACA,144,Multirisque Pro,Confort,Web,318.01,3,1342.63,2.0,0,0,2.0,0,2023-11-11,2024-04-21,0
CLT00062,23,Marié(e),Indépendant,Occitanie,132,Multirisque Pro,Confort,Agence,258.87,0,0.0,0.0,1,0,4.0,0,2022-07-23,2022-12-20,1
CLT00063,55,Célibataire,Retraité,Hauts-de-France,48,Assurance Auto,Essentiel,Web,83.33,0,0.0,3.0,1,1,4.0,1,2023-03-01,2024-05-27,1
CLT00064,38,Veuf/Veuve,Indépendant,Hauts-de-France,120,Multirisque Pro,Essentiel,Téléphone,223.82,0,0.0,0.0,1,0,4.0,0,2022-06-01,2024-04-02,0
CLT00065,72,En couple,Sans emploi,Occitanie,108,Assurance Auto,Essentiel,Téléphone,80.88,1,1320.84,1.0,3,0,3.0,1,2023-04-21,2023-05-16,0
CLT00066,50,En couple,Retraité,Hauts-de-France,24,Multirisque Pro,Essentiel,Agence,212.14,0,0.0,2.0,1,0,3.0,0,2023-11-15,2024-03-29,1
CLT00067,62,Veuf/Veuve,Sans emploi,Hauts-de-France,144,Multirisque Pro,Premium,Courtier,368.89,0,0.0,1.0,0,0,3.0,0,2023-04-02,2023-06-22,0
CLT00068,51,Marié(e),Sans emploi,Occitanie,132,Assurance Vie,Confort,Courtier,98.47,0,0.0,0.0,0,0,2.0,1,2023-05-12,2024-03-27,1
CLT00069,43,Marié(e),Indépendant,PACA,168,Assurance Habitation,Confort,Téléphone,67.18,0,0.0,1.0,0,0,2.0,0,2022-10-06,2023-09-14,0
CLT00070,44,En couple,Indépendant,Auvergne-Rhône-Alpes,168,Assurance Santé,Premium,Agence,266.97,0,0.0,3.0,1,0,4.0,0,2023-01-28,2023-07-03,0
CLT00071,31,Marié(e),Sans emploi,Grand Est,84,Assurance Habitation,Essentiel,Téléphone,43.32,0,0.0,0.0,3,0,3.0,0,2023-04-23,2023-11-21,0
CLT00072,62,Célibataire,Sans emploi,Grand Est,156,Assurance Auto,Essentiel,Téléphone,81.43,1,2263.1,1.0,3,0,4.0,0,2023-01-25,2024-05-27,0
CLT00073,47,Veuf/Veuve,Sans emploi,Grand Est,24,Assurance Auto,Confort,Courtier,104.78,0,0.0,0.0,0,0,3.0,0,2023-07-14,2024-05-17,1
CLT00074,25,Veuf/Veuve,Retraité,Nouvelle-Aquitaine,168,Assurance Habitation,Confort,Web,57.66,0,0.0,0.0,2,0,5.0,0,2022-01-30,2023-03-04,0
CLT00075,45,Veuf/Veuve,Indépendant,Auvergne-Rhône-Alpes,72,Assurance Santé,Premium,Téléphone,237.42,3,7870.26,2.0,0,1,4.0,1,2023-09-30,2024-06-29,0
CLT00076,32,Veuf/Veuve,Indépendant,PACA,96,Assurance Auto,Confort,Agence,113.88,2,1548.43,,3,0,4.0,0,2023-04-18,2023-07-20,0
CLT00077,47,En couple,Retraité,Bretagne,168,Assurance Auto,Confort,Téléphone,106.51,1,632.22,1.0,2,0,4.0,0,2022-12-01,2023-11-11,0
CLT00078,31,Célibataire,Retraité,Nouvelle-Aquitaine,144,Assurance Vie,Confort,Téléphone,77.33,1,446.03,0.0,0,0,5.0,0,2022-01-20,2024-02-26,0
CLT00079,51,Célibataire,Salarié,Occitanie,12,Multirisque Pro,Essentiel,Courtier,229.55,1,1343.85,4.0,2,0,5.0,0,2022-02-01,2022-10-12,0
CLT00080,43,En couple,Retraité,Occitanie,144,Assurance Habitation,Essentiel,Web,51.51,0,0.0,2.0,1,1,5.0,0,2023-11-17,2023-12-16,0
CLT00081,35,Marié(e),Indépendant,Nouvelle-Aquitaine,120,Multirisque Pro,Essentiel,Téléphone,233.55,0,0.0,1.0,1,0,5.0,0,2023-09-13,2023-11-10,0
CLT00082,59,Marié(e),Sans emploi,Île-de-France,12,Assurance Habitation,Confort,Agence,70.03,0,0.0,0.0,0,0,4.0,0,2023-11-25,2024-02-29,0
CLT00083,60,En couple,Salarié,PACA,36,Assurance Vie,Premium,Web,120.12,0,0.0,2.0,1,1,2.0,0,2023-12-15,2024-06-29,0
CLT00084,60,Marié(e),Sans emploi,Île-de-France,132,Assurance Santé,Premium,Agence,270.24,0,0.0,0.0,0,0,5.0,0,2023-03-15,2024-02-16,0
CLT00085,26,Veuf/Veuve,Retraité,Île-de-France,132,Assurance Santé,Essentiel,Courtier,133.69,0,0.0,1.0,2,0,5.0,0,2022-04-19,2023-07-06,0
CLT00086,26,Veuf/Veuve,Indépendant,Auvergne-Rhône-Alpes,156,Assurance Santé,Premium,Téléphone,223.26,1,2216.1,1.0,2,1,4.0,0,2023-06-19,2024-05-17,0
CLT00087,31,Veuf/Veuve,Sans emploi,Hauts-de-France,96,Assurance Santé,Premium,Téléphone,253.0,0,0.0,1.0,1,2,,0,2022-10-02,2023-08-28,1
CLT00088,54,En couple,Retraité,Hauts-de-France,96,Assurance Habitation,Essentiel,Courtier,51.99,3,5347.12,1.0,3,0,1.0,0,2023-08-07,2024-06-14,1
CLT00089,30,Marié(e),Indépendant,Hauts-de-France,72,Assurance Vie,Confort,Agence,73.67,0,0.0,2.0,2,0,4.0,1,2023-05-15,2023-08-31,0
CLT00090,44,Marié(e),Sans emploi,Nouvelle-Aquitaine,108,Assurance Santé,Confort,Courtier,162.33,0,0.0,,2,0,4.0,0,2022-01-11,2023-06-24,0
CLT00091,74,Veuf/Veuve,Sans emploi,Grand Est,120,Assurance Habitation,Essentiel,Web,43.5,0,0.0,1.0,2,0,5.0,0,2022-09-04,2024-01-04,0
CLT00092,64,Marié(e),Indépendant,PACA,132,Assurance Vie,Confort,Agence,84.7,0,0.0,0.0,2,0,3.0,0,2023-02-19,2024-02-08,0
CLT00093,64,Marié(e),Retraité,Hauts-de-France,72,Assurance Habitation,Confort,Courtier,58.4,0,0.0,1.0,0,0,5.0,0,2023-07-18,2024-01-03,1
CLT00094,61,Marié(e),Fonctionnaire,Nouvelle-Aquitaine,12,Assurance Santé,Premium,Téléphone,229.17,0,0.0,0.0,2,2,3.0,0,2022-08-25,2022-12-26,1
CLT00095,66,En couple,Indépendant,Auvergne-Rhône-Alpes,156,Assurance Habitation,Confort,Agence,63.96,1,383.98,2.0,2,0,4.0,0,2023-05-11,2023-09-29,0
CLT00096,72,En couple,Fonctionnaire,PACA,48,Multirisque Pro,Premium,Courtier,365.47,2,5698.25,0.0,1,0,5.0,0,2022-08-21,2023-08-25,0
CLT00097,53,Marié(e),Salarié,Auvergne-Rhône-Alpes,24,Assurance Habitation,Confort,Agence,72.67,0,0.0,1.0,2,0,3.0,0,2022-02-25,2023-09-14,1
CLT00098,68,Célibataire,Salarié,Hauts-de-France,60,Assurance Santé,Premium,Web,219.0,1,866.91,0.0,3,0,5.0,0,2023-08-11,2024-01-03,0
CLT00099,73,En couple,Salarié,Bretagne,60,Assurance Vie,Confort,Téléphone,75.55,0,0.0,0.0,1,0,1.0,0,2022-09-16,2024-01-18,1
CLT00100,40,Célibataire,Sans emploi,Hauts-de-France,48,Assurance Auto,Essentiel,Téléphone,86.0,1,2749.75,1.0,2,0,3.0,0,2023-10-07,2023-11-03,0
CLT00101,26,En couple,Salarié,PACA,60,Assurance Habitation,Essentiel,Courtier,44.7,1,1421.15,0.0,3,1,5.0,0,2023-07-26,2024-02-24,0
CLT00102,67,Veuf/Veuve,Retraité,Grand Est,84,Multirisque Pro,Premium,Web,451.98,0,0.0,0.0,1,0,4.0,0,2022-11-01,2024-06-25,0
CLT00103,43,En couple,Indépendant,PACA,132,Assurance Vie,Confort,Agence,83.8,0,0.0,3.0,1,0,3.0,1,2022-09-28,2022-12-20,1
CLT00104,57,En couple,Salarié,PACA,108,Assurance Habitation,Essentiel,Web,42.57,1,2023.98,2.0,2,0,2.0,0,2023-02-23,2023-10-11,1
CLT00105,48,En couple,Fonctionnaire,Île-de-France,96,Multirisque Pro,Confort,Courtier,262.57,1,1583.97,1.0,0,0,4.0,0,2023-12-25,2024-03-06,1
CLT00106,64,En couple,Retraité,Nouvelle-Aquitaine,12,Assurance Vie,Essentiel,Web,52.74,1,886.98,0.0,3,2,,0,2022-04-28,2023-11-06,0
CLT00107,55,En couple,Salarié,Nouvelle-Aquitaine,84,Assurance Habitation,Premium,Web,97.41,3,6753.61,0.0,3,0,4.0,1,2022-03-03,2022-08-19,0
CLT00108,66,Célibataire,Retraité,Hauts-de-France,132,Assurance Santé,Premium,Courtier,232.08,1,498.48,0.0,0,1,4.0,0,2023-12-07,2024-02-22,0
CLT00109,56,Célibataire,Sans emploi,Hauts-de-France,36,Assurance Vie,Confort,Téléphone,73.69,0,0.0,4.0,1,0,4.0,0,2022-02-10,2023-04-28,0
CLT00110,38,Célibataire,Indépendant,Île-de-France,120,Assurance Santé,Premium,Courtier,262.01,0,0.0,0.0,3,1,5.0,0,2023-11-22,2024-06-23,0
CLT00111,37,Célibataire,Indépendant,Nouvelle-Aquitaine,72,Multirisque Pro,Premium,Agence,477.28,2,4021.32,1.0,0,0,5.0,0,2023-04-27,2024-01-17,0
CLT00112,44,Veuf/Veuve,Salarié,Grand Est,120,Assurance Vie,Confort,Web,88.1,2,590.1,1.0,0,0,3.0,0,2023-04-27,2023-10-22,0
CLT00113,52,En couple,Fonctionnaire,PACA,168,Assurance Vie,Confort,Courtier,73.01,0,0.0,1.0,2,0,1.0,0,2023-02-26,2024-02-16,1
CLT00114,55,Veuf/Veuve,Salarié,Île-de-France,36,Assurance Vie,Confort,Téléphone,91.87,0,0.0,,3,1,4.0,0,2022-11-19,2023-08-04,0
CLT00115,34,Veuf/Veuve,Retraité,Île-de-France,24,Assurance Santé,Essentiel,Téléphone,123.85,0,0.0,3.0,1,1,1.0,0,2022-02-25,2022-09-05,0
CLT00116,34,Célibataire,Indépendant,Hauts-de-France,24,Multirisque Pro,Confort,Téléphone,330.03,1,2994.22,0.0,1,0,2.0,0,2022-10-01,2024-04-15,0
CLT00117,65,Célibataire,Salarié,Hauts-de-France,108,Assurance Habitation,Confort,Téléphone,70.49,0,0.0,1.0,0,0,4.0,0,2023-10-08,2024-02-07,0
CLT00118,71,Célibataire,Indépendant,Grand Est,48,Assurance Habitation,Confort,Agence,69.33,1,976.34,3.0,2,0,4.0,0,2022-04-27,2023-08-12,0
CLT00119,58,Marié(e),Sans emploi,Hauts-de-France,156,Assurance Auto,Premium,Web,150.5,1,2950.53,3.0,3,0,4.0,0,2023-12-24,2024-03-02,0
CLT00120,29,Veuf/Veuve,Sans emploi,Occitanie,48,Assurance Vie,Confort,Téléphone,96.03,0,0.0,2.0,1,0,3.0,0,2022-05-29,2023-06-25,1
CLT00121,24,Marié(e),Retraité,PACA,96,Assurance Habitation,Premium,Web,87.53,0,0.0,4.0,0,0,,0,2022-12-15,2024-05-17,0
CLT00122,56,Veuf/Veuve,Indépendant,Nouvelle-Aquitaine,24,Assurance Santé,Essentiel,Courtier,122.63,4,10851.28,1.0,0,0,3.0,0,2023-04-03,2024-01-03,0
CLT00123,55,Veuf/Veuve,Fonctionnaire,Grand Est,132,Assurance Vie,Confort,Courtier,97.2,0,0.0,0.0,0,1,1.0,0,2022-07-13,2024-06-26,1
CLT00124,46,Veuf/Veuve,Salarié,Occitanie,60,Assurance Habitation,Premium,Téléphone,99.66,0,0.0,0.0,1,1,3.0,0,2022-11-22,2024-03-20,1
CLT00125,69,Célibataire,Indépendant,Hauts-de-France,156,Assurance Vie,Confort,Web,97.7,4,1488.99,3.0,1,1,4.0,0,2023-05-30,2024-03-27,0
CLT00126,48,Veuf/Veuve,Salarié,PACA,156,Assurance Santé,Essentiel,Téléphone,113.22,2,4865.59,1.0,0,0,,0,2022-05-28,2023-07-21,0
CLT00127,74,Marié(e),Sans emploi,Nouvelle-Aquitaine,120,Assurance Habitation,Essentiel,Téléphone,39.92,1,729.82,3.0,0,0,5.0,1,2023-12-11,2024-03-21,1
CLT00128,64,Veuf/Veuve,Sans emploi,Bretagne,60,Assurance Auto,Confort,Téléphone,124.35,0,0.0,2.0,1,0,5.0,0,2022-02-06,2023-10-31,1
CLT00129,48,Célibataire,Retraité,Occitanie,12,Assurance Auto,Essentiel,Courtier,83.68,0,0.0,0.0,3,1,4.0,0,2022-04-11,2024-05-28,0
CLT00130,31,Célibataire,Salarié,Nouvelle-Aquitaine,108,Assurance Auto,Confort,Web,132.95,0,0.0,1.0,1,1,5.0,0,2022-11-29,2023-01-25,0
CLT00131,25,En couple,Indépendant,Grand Est,132,Assurance Santé,Confort,Courtier,152.58,1,2184.0,1.0,1,0,4.0,1,2023-06-28,2024-01-24,0
CLT00132,50,En couple,Salarié,Auvergne-Rhône-Alpes,144,Multirisque Pro,Premium,Web,444.95,0,0.0,2.0,2,1,2.0,0,2023-09-17,2024-03-30,0
CLT00133,32,En couple,Indépendant,Hauts-de-France,120,Multirisque Pro,Premium,Web,340.14,0,0.0,1.0,3,0,4.0,0,2023-04-18,2024-03-09,0
CLT00134,50,Veuf/Veuve,Fonctionnaire,Île-de-France,132,Assurance Santé,Confort,Courtier,155.78,0,0.0,1.0,1,1,2.0,1,2023-11-25,2024-04-12,1
CLT00135,50,Marié(e),Retraité,Bretagne,60,Assurance Habitation,Essentiel,Téléphone,52.58,2,5801.31,2.0,0,0,5.0,1,2023-12-08,2024-02-10,1
CLT00136,56,Veuf/Veuve,Salarié,Grand Est,12,Assurance Vie,Confort,Web,90.56,0,0.0,3.0,3,0,4.0,0,2022-08-31,2023-09-25,1
CLT00137,29,Célibataire,Retraité,Nouvelle-Aquitaine,132,Multirisque Pro,Confort,Courtier,320.79,1,1953.42,0.0,0,3,5.0,0,2022-10-09,2022-10-17,0
CLT00138,51,Marié(e),Indépendant,Hauts-de-France,168,Multirisque Pro,Premium,Agence,423.77,1,893.11,1.0,3,0,4.0,0,2023-09-14,2024-03-12,0
CLT00139,45,En couple,Salarié,Nouvelle-Aquitaine,96,Assurance Habitation,Premium,Web,86.28,0,0.0,0.0,1,0,4.0,1,2023-10-05,2023-10-25,0
CLT00140,32,En couple,Salarié,Bretagne,156,Assurance Santé,Confort,Agence,187.32,3,8225.68,2.0,2,0,2.0,1,2022-10-30,2023-09-29,1
CLT00141,37,Marié(e),Sans emploi,Auvergne-Rhône-Alpes,72,Assurance Vie,Essentiel,Web,63.98,1,1767.02,0.0,3,0,2.0,1,2023-05-29,2023-10-15,1
CLT00142,34,Marié(e),Salarié,Nouvelle-Aquitaine,48,Assurance Habitation,Confort,Téléphone,61.44,0,0.0,4.0,1,1,4.0,0,2023-04-25,2023-06-02,0
CLT00143,70,Célibataire,Retraité,Bretagne,96,Assurance Habitation,Essentiel,Téléphone,48.27,1,288.44,4.0,2,0,4.0,1,2022-01-15,2022-10-12,0
CLT00144,49,Marié(e),Sans emploi,Bretagne,168,Multirisque Pro,Essentiel,Téléphone,224.84,1,1556.32,1.0,3,1,4.0,0,2023-01-26,2024-02-10,0
CLT00145,62,Célibataire,Sans emploi,Hauts-de-France,144,Assurance Auto,Premium,Web,176.97,0,0.0,0.0,2,0,4.0,0,2023-07-29,2024-01-12,0
CLT00146,67,Marié(e),Retraité,Hauts-de-France,48,Multirisque Pro,Essentiel,Agence,222.1,2,2828.47,0.0,3,1,4.0,0,2022-04-30,2022-09-20,0
CLT00147,62,Célibataire,Salarié,Hauts-de-France,132,Assurance Auto,Essentiel,Courtier,86.21,0,0.0,1.0,0,0,4.0,1,2022-08-29,2024-03-01,1
CLT00148,42,Veuf/Veuve,Sans emploi,Bretagne,120,Assurance Habitation,Confort,Téléphone,69.93,0,0.0,0.0,3,0,5.0,0,2022-06-08,2023-08-06,0
CLT00149,62,Célibataire,Fonctionnaire,Nouvelle-Aquitaine,48,Assurance Auto,Confort,Téléphone,96.35,0,0.0,1.0,2,0,5.0,0,2022-08-11,2023-11-08,0
CLT00150,33,Marié(e),Sans emploi,PACA,36,Assurance Vie,Essentiel,Courtier,64.08,1,2252.72,0.0,3,0,4.0,0,2023-10-23,2024-01-22,0
CLT00151,23,Célibataire,Retraité,Occitanie,84,Assurance Auto,Confort,Courtier,111.39,0,0.0,1.0,1,0,5.0,0,2022-04-04,2024-02-11,0
CLT00152,23,Marié(e),Indépendant,Île-de-France,84,Assurance Habitation,Premium,Agence,81.65,0,0.0,4.0,1,0,5.0,0,2022-05-09,2023-12-08,0
CLT00153,57,En couple,Fonctionnaire,Occitanie,156,Assurance Habitation,Essentiel,Web,41.98,0,0.0,3.0,1,0,3.0,0,2022-06-01,2024-02-01,0
CLT00154,22,Marié(e),Indépendant,Auvergne-Rhône-Alpes,60,Assurance Auto,Confort,Web,104.95,1,2178.98,0.0,3,0,4.0,0,2022-04-23,2024-02-28,0
